Hochtemp1;Time;Celsius(°C);Serial Number
1;04.12.2025 07:59:22;20,5;68004469
2;04.12.2025 07:59:23;20,5;
3;04.12.2025 07:59:24;20,5;
4;04.12.2025 07:59:25;20,6;
5;04.12.2025 07:59:26;20,6;
6;04.12.2025 07:59:27;20,6;
7;04.12.2025 07:59:28;20,7;
8;04.12.2025 07:59:29;20,7;
9;04.12.2025 07:59:30;20,8;
10;04.12.2025 07:59:31;20,8;
11;04.12.2025 07:59:32;20,9;
12;04.12.2025 07:59:33;20,9;
13;04.12.2025 07:59:34;21;
14;04.12.2025 07:59:35;21;
15;04.12.2025 07:59:36;21,1;
16;04.12.2025 07:59:37;21,1;
17;04.12.2025 07:59:38;21,1;
18;04.12.2025 07:59:39;21,2;
19;04.12.2025 07:59:40;21,3;
20;04.12.2025 07:59:41;21,3;
21;04.12.2025 07:59:42;21,3;
22;04.12.2025 07:59:43;21,4;
23;04.12.2025 07:59:44;21,4;
24;04.12.2025 07:59:45;21,4;
25;04.12.2025 07:59:46;21,4;
26;04.12.2025 07:59:47;21,4;
27;04.12.2025 07:59:48;21,5;
28;04.12.2025 07:59:49;21,5;
29;04.12.2025 07:59:50;21,5;
30;04.12.2025 07:59:51;21,6;
31;04.12.2025 07:59:52;21,6;
32;04.12.2025 07:59:53;21,6;
33;04.12.2025 07:59:54;21,7;
34;04.12.2025 07:59:55;21,7;
35;04.12.2025 07:59:56;21,7;
36;04.12.2025 07:59:57;21,8;
37;04.12.2025 07:59:58;21,8;
38;04.12.2025 07:59:59;21,8;
39;04.12.2025 08:00:00;21,8;
40;04.12.2025 08:00:01;21,9;
41;04.12.2025 08:00:02;21,9;
42;04.12.2025 08:00:03;21,9;
43;04.12.2025 08:00:04;21,9;
44;04.12.2025 08:00:05;21,9;
45;04.12.2025 08:00:06;22;
46;04.12.2025 08:00:07;22;
47;04.12.2025 08:00:08;22;
48;04.12.2025 08:00:09;22;
49;04.12.2025 08:00:10;22,1;
50;04.12.2025 08:00:11;22,1;
51;04.12.2025 08:00:12;22,1;
52;04.12.2025 08:00:13;22,1;
53;04.12.2025 08:00:14;22,2;
54;04.12.2025 08:00:15;22,2;
55;04.12.2025 08:00:16;22,2;
56;04.12.2025 08:00:17;22,2;
57;04.12.2025 08:00:18;22,2;
58;04.12.2025 08:00:19;22,2;
59;04.12.2025 08:00:20;22,3;
60;04.12.2025 08:00:21;22,3;
61;04.12.2025 08:00:22;22,3;
62;04.12.2025 08:00:23;22,3;
63;04.12.2025 08:00:24;22,3;
64;04.12.2025 08:00:25;22,3;
65;04.12.2025 08:00:26;22,3;
66;04.12.2025 08:00:27;22,3;
67;04.12.2025 08:00:28;22,3;
68;04.12.2025 08:00:29;22,3;
69;04.12.2025 08:00:30;22,3;
70;04.12.2025 08:00:31;22,4;
71;04.12.2025 08:00:32;22,4;
72;04.12.2025 08:00:33;22,4;
73;04.12.2025 08:00:34;22,4;
74;04.12.2025 08:00:35;22,4;
75;04.12.2025 08:00:36;22,4;
76;04.12.2025 08:00:37;22,4;
77;04.12.2025 08:00:38;22,4;
78;04.12.2025 08:00:39;22,5;
79;04.12.2025 08:00:40;22,5;
80;04.12.2025 08:00:41;22,5;
81;04.12.2025 08:00:42;22,5;
82;04.12.2025 08:00:43;22,5;
83;04.12.2025 08:00:44;22,5;
84;04.12.2025 08:00:45;22,5;
85;04.12.2025 08:00:46;22,5;
86;04.12.2025 08:00:47;22,5;
87;04.12.2025 08:00:48;22,6;
88;04.12.2025 08:00:49;22,6;
89;04.12.2025 08:00:50;22,6;
90;04.12.2025 08:00:51;22,6;
91;04.12.2025 08:00:52;22,6;
92;04.12.2025 08:00:53;22,6;
93;04.12.2025 08:00:54;22,6;
94;04.12.2025 08:00:55;22,6;
95;04.12.2025 08:00:56;22,6;
96;04.12.2025 08:00:57;22,6;
97;04.12.2025 08:00:58;22,6;
98;04.12.2025 08:00:59;22,6;
99;04.12.2025 08:01:00;22,6;
100;04.12.2025 08:01:01;22,7;
101;04.12.2025 08:01:02;22,7;
102;04.12.2025 08:01:03;22,7;
103;04.12.2025 08:01:04;22,7;
104;04.12.2025 08:01:05;22,7;
105;04.12.2025 08:01:06;22,7;
106;04.12.2025 08:01:07;22,7;
107;04.12.2025 08:01:08;22,7;
108;04.12.2025 08:01:09;22,7;
109;04.12.2025 08:01:10;22,7;
110;04.12.2025 08:01:11;22,7;
111;04.12.2025 08:01:12;22,7;
112;04.12.2025 08:01:13;22,7;
113;04.12.2025 08:01:14;22,7;
114;04.12.2025 08:01:15;22,7;
115;04.12.2025 08:01:16;22,7;
116;04.12.2025 08:01:17;22,7;
117;04.12.2025 08:01:18;22,7;
118;04.12.2025 08:01:19;22,8;
119;04.12.2025 08:01:20;22,8;
120;04.12.2025 08:01:21;22,8;
121;04.12.2025 08:01:22;22,8;
122;04.12.2025 08:01:23;22,8;
123;04.12.2025 08:01:24;22,8;
124;04.12.2025 08:01:25;22,8;
125;04.12.2025 08:01:26;22,8;
126;04.12.2025 08:01:27;22,8;
127;04.12.2025 08:01:28;22,8;
128;04.12.2025 08:01:29;22,8;
129;04.12.2025 08:01:30;22,8;
130;04.12.2025 08:01:31;22,8;
131;04.12.2025 08:01:32;22,8;
132;04.12.2025 08:01:33;22,8;
133;04.12.2025 08:01:34;22,8;
134;04.12.2025 08:01:35;22,8;
135;04.12.2025 08:01:36;22,8;
136;04.12.2025 08:01:37;22,8;
137;04.12.2025 08:01:38;22,8;
138;04.12.2025 08:01:39;22,8;
139;04.12.2025 08:01:40;22,8;
140;04.12.2025 08:01:41;22,8;
141;04.12.2025 08:01:42;22,8;
142;04.12.2025 08:01:43;22,8;
143;04.12.2025 08:01:44;22,8;
144;04.12.2025 08:01:45;22,8;
145;04.12.2025 08:01:46;22,8;
146;04.12.2025 08:01:47;22,8;
147;04.12.2025 08:01:48;22,8;
148;04.12.2025 08:01:49;22,8;
149;04.12.2025 08:01:50;22,8;
150;04.12.2025 08:01:51;22,8;
151;04.12.2025 08:01:52;22,8;
152;04.12.2025 08:01:53;22,8;
153;04.12.2025 08:01:54;22,8;
154;04.12.2025 08:01:55;22,8;
155;04.12.2025 08:01:56;22,8;
156;04.12.2025 08:01:57;22,8;
157;04.12.2025 08:01:58;22,8;
158;04.12.2025 08:01:59;22,8;
159;04.12.2025 08:02:00;22,8;
160;04.12.2025 08:02:01;22,8;
161;04.12.2025 08:02:02;22,9;
162;04.12.2025 08:02:03;22,9;
163;04.12.2025 08:02:04;22,9;
164;04.12.2025 08:02:05;22,9;
165;04.12.2025 08:02:06;22,9;
166;04.12.2025 08:02:07;22,9;
167;04.12.2025 08:02:08;22,9;
168;04.12.2025 08:02:09;22,9;
169;04.12.2025 08:02:10;22,9;
170;04.12.2025 08:02:11;22,9;
171;04.12.2025 08:02:12;22,9;
172;04.12.2025 08:02:13;22,9;
173;04.12.2025 08:02:14;22,9;
174;04.12.2025 08:02:15;22,9;
175;04.12.2025 08:02:16;22,9;
176;04.12.2025 08:02:17;22,9;
