n_set;m_before;m_after;;m_diff;m_diff_mean;n_UL;t_UL;;
1;2,7098;3,4314;;0,7216;0,81176;870;40°C;;
2;3,047;3,8356;;0,7886;;870;;;
3;3,0427;3,8792;;0,8365;;870;;;
4;3,0687;3,8419;;0,7732;;870;;;
5;3,0339;3,7806;;0,7467;;870;;;
6;3,0582;3,8265;;0,7683;;870;;;
7;3,0556;3,9024;;0,8468;;870;;;
8;3,0249;3,9422;;0,9173;;870;;;
9;3,0563;3,8731;;0,8168;;870;;;
10;3,0669;3,9687;;0,9018;;870;;;
11;3,0671;3,5368;;0,4697;0,51757;1500;40°C;;
12;3,0548;3,5746;;0,5198;;1500;;;
13;3,0753;3,6242;;0,5489;;1500;;;
14;3,0652;3,5694;;0,5042;;1500;;;
15;3,0418;3,622;;0,5802;;1500;;;
16;3,0558;3,5559;;0,5001;;1500;;;
17;3,0406;3,4973;;0,4567;;1500;;;
18;3,0969;3,6344;;0,5375;;1500;;;
19;3,0719;3,5551;;0,4832;;1500;;;
20;3,0524;3,6278;;0,5754;;1500;;;
21;3,0881;3,36597;;0,27787;0,292457;2000;40°C;;
22;3,0546;3,4144;;0,3598;;2000;;;
23;3,055;3,3309;;0,2759;;2000;;;
24;3,0384;3,3061;;0,2677;;2000;;;
25;3,0424;3,3292;;0,2868;;2000;;;
26;3,0508;3,3485;;0,2977;;2000;;;
27;3,0517;3,3531;;0,3014;;2000;;;
28;3,0075;3,2514;;0,2439;;2000;;;
29;3,0933;3,4128;;0,3195;;2000;;;
30;3,0981;3,3921;;0,294;;2000;;;
31;2,6967;2,773;;0,0763;0,10597;2500;40°C;;
32;2,6977;2,8061;;0,1084;;2500;;;
33;2,6973;2,8042;;0,1069;;2500;;;
34;2,6966;2,8148;;0,1182;;2500;;;
35;2,7034;2,7988;;0,0954;;2500;;;
36;2,7026;2,7978;;0,0952;;2500;;;
37;2,6996;2,8055;;0,1059;;2500;;;
38;2,6964;2,8279;;0,1315;;2500;;;
39;2,7063;2,8215;;0,1152;;2500;;;
40;2,7077;2,8144;;0,1067;;2500;;;
41;0,3412;0,3752;;0,034;0,04942;2905;40°C;;
42;2,6987;2,7454;;0,0467;;2905;;;
43;2,7165;2,7739;;0,0574;;2905;;;
44;2,7076;2,7743;;0,0667;;2905;;;
45;2,7116;2,7461;;0,0345;;2905;;;
46;2,7211;2,7611;;0,04;;2905;;;
47;2,7325;2,7663;;0,0338;;2905;;;
