sample_number;IR_temp;t_duration
1;36,9;480
2;34,4;
3;34,1;
4;33,6;480
5;35;
6;35;
7;33,3;480
8;35;
9;36,6;
10;32,8;480
11;34,9;
12;36,8;
13;36,5;480
14;36;
15;35,2;
16;36,5;240
17;35,1;
18;34,8;
19;32,5;240
20;30,1;
21;33,8;
22;37,4;240
23;34,5;
24;35,5;
25;37,9;240
26;36,4;
27;36,5;
28;37,1;240
29;36,6;
30;33,8;
31;39,1;120
32;39,3;
33;38,1;
34;40;120
35;40,1;
36;37,5;
37;37,2;120
38;39,8;
39;40;
40;36,9;120
41;37,5;
42;40,5;
43;40,8;120
44;41,7;
45;39,5;
46;38,9;60
47;39,2;
48;40,7;
49;39,5;60
50;40;
51;40,5;
52;39,5;60
53;42,3;
54;43,3;
55;42,5;60
56;43,5;
57;40,7;
58;43,6;60
59;42,5;
60;37;
61;36,4;30
62;36,2;
63;35,3;
64;39,9;30
65;41,4;
66;40,8;
67;44,2;30
68;41,8;
69;42,1;
70;45,2;30
71;44,2;
72;40,7;
73;44,2;30
74;44,8;
75;41,5;
76;43,9;0
77;42,8;
78;41,2;
79;44,9;0
80;41,4;
81;42,7;
82;46,6;0
83;46,1;
84;45,2;
85;46,7;0
86;47,7;
87;41;
88;47,6;0
89;46,1;
90;45,9;
