Time,Sensor_68004469,Sensor_68004548
2025-11-20 09:00:00,21.4,21.5
2025-11-20 09:00:01,21.4,21.5
2025-11-20 09:00:02,21.4,21.5
2025-11-20 09:00:03,21.4,21.5
2025-11-20 09:00:04,21.4,21.5
2025-11-20 09:00:05,21.4,21.5
2025-11-20 09:00:06,21.4,21.5
2025-11-20 09:00:07,21.4,21.5
2025-11-20 09:00:08,21.4,21.5
2025-11-20 09:00:09,21.4,21.5
2025-11-20 09:00:10,21.3,21.5
2025-11-20 09:00:11,21.3,21.5
2025-11-20 09:00:12,21.4,21.5
2025-11-20 09:00:13,21.3,21.5
2025-11-20 09:00:14,21.3,21.5
2025-11-20 09:00:15,21.3,21.5
2025-11-20 09:00:16,21.3,21.5
2025-11-20 09:00:17,21.4,21.5
2025-11-20 09:00:18,21.4,21.5
2025-11-20 09:00:19,21.4,21.5
2025-11-20 09:00:20,21.4,21.5
2025-11-20 09:00:21,21.4,21.5
2025-11-20 09:00:22,21.4,21.5
2025-11-20 09:00:23,21.4,21.5
2025-11-20 09:00:24,21.4,21.5
2025-11-20 09:00:25,21.4,21.5
2025-11-20 09:00:26,21.3,21.5
2025-11-20 09:00:27,21.4,21.5
2025-11-20 09:00:28,21.4,21.5
2025-11-20 09:00:29,21.4,21.5
2025-11-20 09:00:30,21.3,21.5
2025-11-20 09:00:31,21.4,21.5
2025-11-20 09:00:32,21.4,21.5
2025-11-20 09:00:33,21.4,21.5
2025-11-20 09:00:34,21.4,21.5
2025-11-20 09:00:35,21.3,21.5
2025-11-20 09:00:36,21.4,21.5
2025-11-20 09:00:37,21.4,21.5
2025-11-20 09:00:38,21.4,21.5
2025-11-20 09:00:39,21.3,21.5
2025-11-20 09:00:40,21.3,21.5
2025-11-20 09:00:41,21.4,21.5
2025-11-20 09:00:42,21.4,21.5
2025-11-20 09:00:43,21.4,21.5
2025-11-20 09:00:44,21.4,21.5
2025-11-20 09:00:45,21.3,21.5
2025-11-20 09:00:46,21.4,21.5
2025-11-20 09:00:47,21.4,21.5
2025-11-20 09:00:48,21.3,21.5
2025-11-20 09:00:49,21.3,21.5
2025-11-20 09:00:50,21.4,21.5
2025-11-20 09:00:51,21.4,21.5
2025-11-20 09:00:52,21.4,21.5
2025-11-20 09:00:53,21.4,21.5
2025-11-20 09:00:54,21.3,21.5
2025-11-20 09:00:55,21.4,21.5
2025-11-20 09:00:56,21.4,21.5
2025-11-20 09:00:57,21.4,21.5
2025-11-20 09:00:58,21.4,21.5
2025-11-20 09:00:59,21.4,21.5
2025-11-20 09:01:00,21.4,21.5
2025-11-20 09:01:01,21.4,21.5
2025-11-20 09:01:02,21.4,21.5
2025-11-20 09:01:03,21.4,21.5
2025-11-20 09:01:04,21.3,21.5
2025-11-20 09:01:05,21.4,21.5
2025-11-20 09:01:06,21.4,21.5
2025-11-20 09:01:07,21.3,21.5
2025-11-20 09:01:08,21.3,21.5
2025-11-20 09:01:09,21.4,21.5
2025-11-20 09:01:10,21.3,21.5
2025-11-20 09:01:11,21.4,21.5
2025-11-20 09:01:12,21.4,21.4
2025-11-20 09:01:13,21.3,21.4
2025-11-20 09:01:14,21.3,21.4
2025-11-20 09:01:15,21.3,21.4
2025-11-20 09:01:16,21.4,21.4
2025-11-20 09:01:17,21.4,21.4
2025-11-20 09:01:18,21.3,21.4
2025-11-20 09:01:19,21.3,21.4
2025-11-20 09:01:20,21.4,21.4
2025-11-20 09:01:21,21.4,21.4
2025-11-20 09:01:22,21.4,21.4
2025-11-20 09:01:23,21.4,21.4
2025-11-20 09:01:24,21.3,21.4
2025-11-20 09:01:25,21.3,21.4
2025-11-20 09:01:26,21.4,21.4
