n_UL,T_drying,m_diff,m_diff_mean
870.0,40.0,0.7216,0.81176
870.0,40.0,0.7886,0.81176
870.0,40.0,0.8365,0.81176
870.0,40.0,0.7732,0.81176
870.0,40.0,0.7467,0.81176
870.0,40.0,0.7683,0.81176
870.0,40.0,0.8468,0.81176
870.0,40.0,0.9173,0.81176
870.0,40.0,0.8168,0.81176
870.0,40.0,0.9018,0.81176
1500.0,40.0,0.4697,0.51757
1500.0,40.0,0.5198,0.51757
1500.0,40.0,0.5489,0.51757
1500.0,40.0,0.5042,0.51757
1500.0,40.0,0.5802,0.51757
1500.0,40.0,0.5001,0.51757
1500.0,40.0,0.4567,0.51757
1500.0,40.0,0.5375,0.51757
1500.0,40.0,0.4832,0.51757
1500.0,40.0,0.5754,0.51757
2000.0,40.0,0.27787,0.292457
2000.0,40.0,0.3598,0.292457
2000.0,40.0,0.2759,0.292457
2000.0,40.0,0.2677,0.292457
2000.0,40.0,0.2868,0.292457
2000.0,40.0,0.2977,0.292457
2000.0,40.0,0.3014,0.292457
2000.0,40.0,0.2439,0.292457
2000.0,40.0,0.3195,0.292457
2000.0,40.0,0.294,0.292457
2500.0,40.0,0.0763,0.10597
2500.0,40.0,0.1084,0.10597
2500.0,40.0,0.1069,0.10597
2500.0,40.0,0.1182,0.10597
2500.0,40.0,0.0954,0.10597
2500.0,40.0,0.0952,0.10597
2500.0,40.0,0.1059,0.10597
2500.0,40.0,0.1315,0.10597
2500.0,40.0,0.1152,0.10597
2500.0,40.0,0.1067,0.10597
2905.0,40.0,0.034,0.04942
2905.0,40.0,0.0467,0.04942
2905.0,40.0,0.0574,0.04942
2905.0,40.0,0.0667,0.04942
2905.0,40.0,0.0345,0.04942
2905.0,40.0,0.04,0.04942
2905.0,40.0,0.0338,0.04942
2905.0,40.0,0.0693,0.04942
2905.0,40.0,0.0407,0.04942
2905.0,40.0,0.0711,0.04942
3000.0,40.0,0.0278,0.03779
3000.0,40.0,0.0515,0.03779
3000.0,40.0,0.0265,0.03779
3000.0,40.0,0.0409,0.03779
3000.0,40.0,0.0325,0.03779
3000.0,40.0,0.0389,0.03779
3000.0,40.0,0.0573,0.03779
3000.0,40.0,0.0321,0.03779
3000.0,40.0,0.0343,0.03779
3000.0,40.0,0.0361,0.03779
870.0,0.0,0.8971,0.86038
870.0,0.0,0.9128,0.86038
870.0,0.0,0.7784,0.86038
870.0,0.0,0.8059,0.86038
870.0,0.0,0.2492,0.86038
870.0,0.0,1.036,0.86038
870.0,0.0,0.94,0.86038
870.0,0.0,0.9668,0.86038
870.0,0.0,1.0458,0.86038
870.0,0.0,0.9718,0.86038
1500.0,0.0,0.6778,0.68404
1500.0,0.0,0.6969,0.68404
1500.0,0.0,0.6286,0.68404
1500.0,0.0,0.7152,0.68404
1500.0,0.0,0.692,0.68404
1500.0,0.0,0.5831,0.68404
1500.0,0.0,0.7858,0.68404
1500.0,0.0,0.6511,0.68404
1500.0,0.0,0.7154,0.68404
1500.0,0.0,0.6945,0.68404
2000.0,0.0,0.451,0.42677
2000.0,0.0,0.4263,0.42677
2000.0,0.0,0.4228,0.42677
2000.0,0.0,0.4699,0.42677
2000.0,0.0,0.3908,0.42677
2000.0,0.0,0.4466,0.42677
2000.0,0.0,0.4573,0.42677
2000.0,0.0,0.3702,0.42677
2000.0,0.0,0.3852,0.42677
2000.0,0.0,0.4476,0.42677
2500.0,0.0,0.2313,0.21896
2500.0,0.0,0.2246,0.21896
2500.0,0.0,0.2049,0.21896
2500.0,0.0,0.2265,0.21896
2500.0,0.0,0.207,0.21896
2500.0,0.0,0.2097,0.21896
2500.0,0.0,0.2274,0.21896
2500.0,0.0,0.2339,0.21896
2500.0,0.0,0.1984,0.21896
2500.0,0.0,0.2259,0.21896
2905.0,0.0,0.0923,0.1025
2905.0,0.0,0.099,0.1025
2905.0,0.0,0.0917,0.1025
2905.0,0.0,0.1289,0.1025
2905.0,0.0,0.0966,0.1025
2905.0,0.0,0.1102,0.1025
2905.0,0.0,0.1151,0.1025
2905.0,0.0,0.0948,0.1025
2905.0,0.0,0.0939,0.1025
2905.0,0.0,0.0993,0.1025
3000.0,0.0,0.0997,0.08941
3000.0,0.0,0.113,0.08941
3000.0,0.0,0.0898,0.08941
3000.0,0.0,0.0822,0.08941
3000.0,0.0,0.0684,0.08941
3000.0,0.0,0.082,0.08941
3000.0,0.0,0.0787,0.08941
3000.0,0.0,0.0778,0.08941
3000.0,0.0,0.1126,0.08941
3000.0,0.0,0.0899,0.08941
