Time,Sensor_68004469,Sensor_68004548
2025-11-21 10:59:00,21.8,23.1
2025-11-21 10:59:01,21.8,23.1
2025-11-21 10:59:02,21.8,23.1
2025-11-21 10:59:03,21.8,23.1
2025-11-21 10:59:04,21.8,23.1
2025-11-21 10:59:05,21.8,23.1
2025-11-21 10:59:06,21.8,23.1
2025-11-21 10:59:07,21.8,23.1
2025-11-21 10:59:08,21.8,23.1
2025-11-21 10:59:09,21.8,23.1
2025-11-21 10:59:10,21.8,23.1
2025-11-21 10:59:11,21.8,23.1
2025-11-21 10:59:12,21.8,23.1
2025-11-21 10:59:13,21.8,23.1
2025-11-21 10:59:14,21.8,23.1
2025-11-21 10:59:15,21.8,23.1
2025-11-21 10:59:16,21.8,23.1
2025-11-21 10:59:17,21.8,23.1
2025-11-21 10:59:18,21.8,23.1
2025-11-21 10:59:19,21.8,23.1
2025-11-21 10:59:20,21.8,23.1
2025-11-21 10:59:21,21.8,23.1
2025-11-21 10:59:22,21.8,23.1
2025-11-21 10:59:23,21.8,23.1
2025-11-21 10:59:24,21.8,23.1
2025-11-21 10:59:25,21.8,23.1
2025-11-21 10:59:26,21.8,23.1
2025-11-21 10:59:27,21.8,23.1
2025-11-21 10:59:28,21.8,23.1
2025-11-21 10:59:29,21.8,23.1
2025-11-21 10:59:30,21.8,23.1
2025-11-21 10:59:31,21.8,23.1
2025-11-21 10:59:32,21.8,23.1
2025-11-21 10:59:33,21.8,23.1
2025-11-21 10:59:34,21.8,23.1
2025-11-21 10:59:35,21.8,23.1
2025-11-21 10:59:36,21.8,23.1
2025-11-21 10:59:37,21.8,23.1
2025-11-21 10:59:38,21.8,23.1
2025-11-21 10:59:39,21.8,23.1
2025-11-21 10:59:40,21.8,23.1
2025-11-21 10:59:41,21.8,23.1
2025-11-21 10:59:42,21.8,23.1
2025-11-21 10:59:43,21.8,23.1
2025-11-21 10:59:44,21.9,23.1
2025-11-21 10:59:45,21.9,23.1
2025-11-21 10:59:46,21.9,23.1
2025-11-21 10:59:47,21.9,23.1
2025-11-21 10:59:48,21.9,23.1
2025-11-21 10:59:49,21.9,23.1
2025-11-21 10:59:50,21.9,23.1
2025-11-21 10:59:51,21.9,23.1
2025-11-21 10:59:52,21.9,23.1
2025-11-21 10:59:53,21.9,23.1
2025-11-21 10:59:54,21.9,23.1
2025-11-21 10:59:55,21.9,23.1
2025-11-21 10:59:56,21.9,23.1
2025-11-21 10:59:57,21.9,23.1
2025-11-21 10:59:58,21.9,23.1
2025-11-21 10:59:59,21.9,23.1
2025-11-21 11:00:00,21.9,23.1
2025-11-21 11:00:01,21.9,23.0
2025-11-21 11:00:02,21.9,23.0
2025-11-21 11:00:03,21.9,23.0
2025-11-21 11:00:04,21.9,23.1
2025-11-21 11:00:05,21.9,23.0
2025-11-21 11:00:06,21.9,23.0
2025-11-21 11:00:07,21.9,23.0
2025-11-21 11:00:08,21.9,23.0
2025-11-21 11:00:09,21.9,23.0
2025-11-21 11:00:10,21.9,23.0
2025-11-21 11:00:11,21.9,23.0
2025-11-21 11:00:12,21.9,23.0
2025-11-21 11:00:13,21.9,23.0
2025-11-21 11:00:14,21.9,23.0
2025-11-21 11:00:15,21.9,23.0
2025-11-21 11:00:16,21.9,23.0
2025-11-21 11:00:17,21.9,23.0
2025-11-21 11:00:18,21.9,23.0
2025-11-21 11:00:19,21.9,23.0
2025-11-21 11:00:20,21.9,23.0
2025-11-21 11:00:21,21.9,23.0
2025-11-21 11:00:22,21.9,23.0
2025-11-21 11:00:23,21.9,23.0
2025-11-21 11:00:24,21.9,23.0
2025-11-21 11:00:25,21.9,23.0
2025-11-21 11:00:26,21.9,23.0
2025-11-21 11:00:27,21.9,23.0
2025-11-21 11:00:28,21.9,23.0
2025-11-21 11:00:29,21.9,23.0
2025-11-21 11:00:30,21.9,23.0
2025-11-21 11:00:31,21.9,23.0
2025-11-21 11:00:32,21.9,23.0
2025-11-21 11:00:33,21.9,23.0
2025-11-21 11:00:34,21.9,23.0
2025-11-21 11:00:35,21.9,23.0
2025-11-21 11:00:36,21.9,23.0
2025-11-21 11:00:37,21.9,23.0
2025-11-21 11:00:38,21.9,23.0
2025-11-21 11:00:39,21.9,23.0
2025-11-21 11:00:40,21.9,23.0
2025-11-21 11:00:41,21.9,23.0
2025-11-21 11:00:42,21.9,23.0
2025-11-21 11:00:43,21.9,23.0
2025-11-21 11:00:44,21.9,23.0
2025-11-21 11:00:45,21.9,23.0
2025-11-21 11:00:46,21.9,23.0
2025-11-21 11:00:47,21.9,23.0
2025-11-21 11:00:48,21.9,23.0
2025-11-21 11:00:49,21.9,23.0
2025-11-21 11:00:50,21.9,23.0
2025-11-21 11:00:51,21.9,23.0
2025-11-21 11:00:52,21.9,23.0
2025-11-21 11:00:53,21.9,23.0
2025-11-21 11:00:54,21.9,23.0
2025-11-21 11:00:55,21.9,23.0
2025-11-21 11:00:56,21.9,23.0
2025-11-21 11:00:57,21.9,23.0
2025-11-21 11:00:58,21.9,23.0
2025-11-21 11:00:59,21.9,23.0
2025-11-21 11:01:00,21.9,23.0
2025-11-21 11:01:01,21.9,23.0
2025-11-21 11:01:02,21.9,23.0
2025-11-21 11:01:03,21.9,23.0
2025-11-21 11:01:04,21.9,23.0
2025-11-21 11:01:05,21.9,23.0
2025-11-21 11:01:06,21.9,23.0
2025-11-21 11:01:07,21.9,23.0
2025-11-21 11:01:08,21.9,22.9
2025-11-21 11:01:09,21.9,22.9
2025-11-21 11:01:10,21.9,22.9
2025-11-21 11:01:11,21.9,22.9
2025-11-21 11:01:12,21.9,22.9
2025-11-21 11:01:13,21.9,22.9
2025-11-21 11:01:14,21.9,22.9
2025-11-21 11:01:15,21.9,22.9
2025-11-21 11:01:16,21.9,22.9
