t_duration,m_diff,m_diff_mean
480.0,1.5794,1.713555556
480.0,0.0,1.713555556
480.0,1.7717,1.713555556
480.0,1.4653,1.713555556
480.0,1.8329,1.713555556
480.0,1.6472,1.713555556
480.0,2.0199,1.713555556
480.0,1.5814,1.713555556
480.0,1.5535,1.713555556
480.0,1.9707,1.713555556
240.0,1.8719,1.97645
240.0,2.2231,1.97645
240.0,1.7217,1.97645
240.0,1.5278,1.97645
240.0,2.3865,1.97645
240.0,2.2503,1.97645
240.0,2.2788,1.97645
240.0,1.7996,1.97645
240.0,1.7504,1.97645
240.0,1.9544,1.97645
120.0,2.3778,2.69258
120.0,2.8212,2.69258
120.0,3.6924,2.69258
120.0,2.6214,2.69258
120.0,2.5116,2.69258
120.0,2.1243,2.69258
120.0,3.1267,2.69258
120.0,2.6417,2.69258
120.0,2.2755,2.69258
120.0,2.7332,2.69258
60.0,2.8166,2.69891
60.0,2.5173,2.69891
60.0,3.4883,2.69891
60.0,2.2251,2.69891
60.0,3.1654,2.69891
60.0,2.2487,2.69891
60.0,2.7357,2.69891
60.0,2.5565,2.69891
60.0,2.9853,2.69891
60.0,2.2502,2.69891
30.0,2.6485,2.30365
30.0,1.7375,2.30365
30.0,1.6828,2.30365
30.0,2.3896,2.30365
30.0,3.7464,2.30365
30.0,3.11,2.30365
30.0,1.3648,2.30365
30.0,1.5383,2.30365
30.0,2.4371,2.30365
30.0,2.3815,2.30365
0.0,3.0319,3.13581
0.0,3.7123,3.13581
0.0,2.7141,3.13581
0.0,2.4521,3.13581
0.0,4.0514,3.13581
0.0,3.595,3.13581
0.0,2.6884,3.13581
0.0,3.024,3.13581
0.0,2.4546,3.13581
0.0,3.6343,3.13581
